,title,date,company,rating,salary,location,summary,requirements
1914,Reliance Industries R&D Jobs – Biology Research Scientist Po...,5 days ago,,,,India,Collect data and conduct relevant analysis.Ensure completion of experiments and generate accurate and reproducible data from experiments.,
1915,Patient Safety Scientist 1,30+ days ago,AstraZeneca,4.1,,"Bengaluru, Karnataka",PV Scientist also has the ability to lead meetings and present safety data and analyses.Identifies and uses appropriate sources of information and database…,
1916,Senior R&D Scientist,27 days ago,Honeywell,3.7,,"Bengaluru, Karnataka","Understanding of Hyper spectral Imaging, Process real time visual IR data.Data processing and coding – Handle large sets of higher dimensional data.",
1917,Lead Data Scientist,30+ days ago,Crediwatch,3,,"Bengaluru, Karnataka","Work closely with other Data and Analytics Teams, inclusive of data analytics, data warehousing, and data engineering teams in creating big data applications…",
1918,RIST Analyst,Today,bp,3.9,,"Pune, Maharashtra","Responsible for managing all aspects of systems commonly used by RIST including data maintenance, system usage, new implementations, updates, testing and…",
1919,Senior Data Scientist Lead (Manager),26 days ago,Microsoft,4.2,,"Hyderabad, Telangana","Would you like to work with and act as a technical lead to a diverse, talented, and highly collaborative team of data scientists?Here is a bit about us.",
1920,Junior Data Analyst,30+ days ago,Indium Software,3.8,,"Chennai, Tamil Nadu","Passion for problem solving by gathering descriptive insights through data extraction, slicing and dicing the data.",
1921,Senior Data Scientist,19 days ago,Franklin Templeton Investments,4,,Andhra Pradesh,"Collects data from disparate systems, analyzes and delivers the data as intelligence that is actionable.Performs ad hoc statistical and data mining analyses.",
1922,Data Analyst,Today,Dvdasjobs,,"₹3,60,000 - ₹4,80,000 a year","Surat, Gujarat","Job Type Full-time | 10:00am-07:00pm.Posted On October 20, 2020.Desired Skills MS Office, Excel, Analysis, Communication, Coordination, System Analyst,…",
1923,Data Services Feed Analyst,12 days ago,Barclays,3.9,,"Pune, Maharashtra",Review and challenge account owner data.In this role you will be working with the IAM Data services team making sure ACL data from all the applications are…,
1924,Junior Executive Trainee/ Executive Trainee - Production,2 days ago,Syngene,4,,India,Its innovative culture is driven by the passion of its 4240- strong team of scientists who work with clients from around the world to solve their scientific…,
1925,Service Engineering Specialist,1 day ago,bp,3.9,,"Pune, Maharashtra","We’re a diverse team of engineers, scientists, traders and business professionals determined to find ways to tackle some of the world’s biggest issues.",
1926,Decision Scientist I,30+ days ago,Flipkart,4.1,,"Bengaluru, Karnataka","Excellent computational, programming, data management skills.Carrying out a cost benefit comparison of various solutions, not only driven by analytical rigour…",
1927,TSM- Malda,11 days ago,UPL ltd,4,,"Maldah, West Bengal","To maintain the data base of Dealers, Farmers and Villages.Identifying the progressive farmers / potential village for Model Plot and to maintain Model plot…",
1928,Data Analyst,5 days ago,Liventus,,,"Bengaluru, Karnataka","Coordinate development of test data, system testing, and documentation for all phases of our data migration processes (ETL).Candidate must have the following:",
1929,Senior Data Scientist,30+ days ago,Techvantage Systems,,,"Thiruvananthapuram, Kerala",We are looking for a very curious Lead data scientist who enjoys a deep dive into the raw data to help figure out the right set of questions and find the…,
1930,AVP Analytics and Data science,25 days ago,Angel broking,3.8,,"Mumbai, Maharashtra","Perform data analysis through tableau and other data source and tools.To collect data, apply analytical skills and present data analysis dashboards to…",
1931,Consultant - Data Analyst - SQL + Tableau + Unix,3 days ago,Virtusa,3.7,,"Hyderabad, Telangana","Experience in data models and reporting packages.Should have Hand on experience in Data Migration, data marts, Data warehousing domain, data sourcing.",
1932,Sr Machine Learning Engineer,12 days ago,Siemens AG,4,,"Bengaluru, Karnataka","Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany.",
1933,Data Analyst / Data Scientist | Internship | Tech-Savvy|,30+ days ago,Anaxee Digital Runners Pvt Ltd,,,"Indore, Madhya Pradesh",Identify new internal and external data sources to support analytics initiatives and work with appropriate partners to absorb the data into new or existing data…,
1934,Sr Data Scientist (Quality Testing and Statistics),25 days ago,HERE Technologies,3.9,,"Mumbai, Maharashtra","Design and develop data and computing tools to enable processing of quality testing data and results.Experience with understanding, specifying and explaining…",
